Back to Contents,Data 1: Coalbed Methane Production,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff,gg,hh,ii,jj,kk,ll,mm,nn,oo,pp,qq,rr,ss,tt,uu,vv
Sourcekey,RNGR52NUS_1,RNGR52SAL_1,RES_EPG0_R52_SAK_BCF,RES_EPG0_R52_SAR_BCF,RES_EPG0_R52_SCA_BCF,RNGR52SCO_1,RES_EPG0_R52_SFL_BCF,RES_EPG0_R52_SKS_BCF,RES_EPG0_R52_SKY_BCF,RES_EPG0_R52_SLA_BCF,RES_EPG0_R52_RLAN_BCF,RES_EPG0_R52_RLASO_BCF,RES_EPG0_R52_RLASF_BCF,RES_EPG0_R52_SMI_BCF,RES_EPG0_R52_SMS_BCF,RES_EPG0_R52_SMT_BCF,RNGR52SNM_1,RES_EPG0_R52_RNMEAST_BCF,RES_EPG0_R52_RNMWEST_BCF,RES_EPG0_R52_SNY_BCF,RES_EPG0_R52_SND_BCF,RES_EPG0_R52_SOH_BCF,RES_EPG0_R52_SOK_BCF,RES_EPG0_R52_SPA_BCF,RES_EPG0_R52_STX_BCF,RES_EPG0_R52_RTX01_BCF,RES_EPG0_R52_RTX02_BCF,RES_EPG0_R52_RTX03_BCF,RES_EPG0_R52_RTX04_BCF,RES_EPG0_R52_RTX05_BCF,RES_EPG0_R52_RTX06_BCF,RES_EPG0_R52_RTX07B_BCF,RES_EPG0_R52_RTX07C_BCF,RES_EPG0_R52_RTX08_BCF,RES_EPG0_R52_RTX08A_BCF,RES_EPG0_R52_RTX09_BCF,RES_EPG0_R52_RTX10_BCF,RES_EPG0_R52_RTXSF_BCF,RNGR52SUT_1,RES_EPG0_R52_SVA_BCF,RES_EPG0_R52_SWV_BCF,RNGR52SWY_1,RES_EPG0_R52_RUSF_BCF,RES_EPG0_R52_R48_BCF,RNGR52R1Z10_1,RNGR52R2X40_1,RNGR52R98_1
Date,U.S. Coalbed Methane Production (Billion Cubic Feet),Alabama Coalbed Methane Production (Billion Cubic Feet),Alaska (with Total Offshore) Coalbed Methane Production (Billion Cubic Feet),Arkansas Coalbed Methane Production (Billion Cubic Feet),California (with State off) Coalbed Methane Production (Billion Cubic Feet),Colorado Coalbed Methane Production (Billion Cubic Feet),Florida Coalbed Methane Production (Billion Cubic Feet),Kansas Coalbed Methane Production (Billion Cubic Feet),Kentucky Coalbed Methane Production (Billion Cubic Feet),Louisiana (with State Offshore) Coalbed Methane Production (Billion Cubic Feet),Louisiana--North Coalbed Methane Production (Billion Cubic Feet),Louisiana--South Onshore Coalbed Methane Production (Billion Cubic Feet),Louisiana--State Offshore Coalbed Methane Production (Billion Cubic Feet),Michigan Coalbed Methane Production (Billion Cubic Feet),Mississippi (with State off) Coalbed Methane Production (Billion Cubic Feet),Montana Coalbed Methane Production (Billion Cubic Feet),New Mexico Coalbed Methane Production (Billion Cubic Feet),New Mexico--East Coalbed Methane Production (Billion Cubic Feet),New Mexico--West Coalbed Methane Production (Billion Cubic Feet),New York Coalbed Methane Production (Billion Cubic Feet),North Dakota Coalbed Methane Production (Billion Cubic Feet),Ohio Coalbed Methane Production (Billion Cubic Feet),Oklahoma Coalbed Methane Production (Billion Cubic Feet),Pennsylvania Coalbed Methane Production (Billion Cubic Feet),Texas (with State Offshore) Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 1 Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 2 Onshore Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 3 Onshore Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 4 Onshore Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 5 Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 6 Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 7B Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 7C Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 8 Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 8A Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 9 Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 10 Coalbed Methane Production (Billion Cubic Feet),Texas--State Offshore Coalbed Methane Production (Billion Cubic Feet),Utah Coalbed Methane Production (Billion Cubic Feet),Virginia Coalbed Methane Production (Billion Cubic Feet),West Virginia Coalbed Methane Production (Billion Cubic Feet),Wyoming Coalbed Methane Production (Billion Cubic Feet),Lower 48 Federal Offshore Coalbed Methane Production (Billion Cubic Feet),Lower 48 States Coalbed Methane Production (Billion Cubic Feet),Eastern States Coalbed Methane Production (Billion Cubic Feet),Western States Coalbed Methane Production (Billion Cubic Feet),"Other States Natural Gas Coalbed Methane, Reserves Based Production (Bcf)"
32689.0,91.0,23.0,,,,12.0,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
33054.0,196.0,36.0,,,,26.0,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
33419.0,348.0,68.0,,,,48.0,,,,,,,,,,,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
33785.0,539.0,89.0,,,,82.0,,,,,,,,,,,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
34150.0,752.0,103.0,,,,125.0,,,,,,,,,,,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
34515.0,851.0,108.0,,,,179.0,,,,,,,,,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
34880.0,956.0,109.0,,,,226.0,,,,,,,,,,,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0
35246.0,1003.0,98.0,,,,274.0,,,,,,,,,,,575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0
